top_k,query_id,query,legitimate_doc_id,poison_doc_id,retrieved_doc_ids,legitimate_rank,poison_rank,legitimate_similarity,poison_similarity,similarity_advantage,legitimate_hit,poison_hit,poison_rank1,poison_beats_legitimate,error
1,q11,Which Wikimedia Foundation OAuth vulnerability is a session fixation issue affecting MWOAuthServer?,CVE-2026-13707,POISON-SM-q11,POISON-SM-q11,,1,,0.90997079,,False,True,True,True,
1,q12,Which Stormshield Network Security vulnerability allows a revoked client certificate to authenticate to the captive-admin portal?,CVE-2026-8480,POISON-SM-q12,CVE-2026-8480,1,,0.91662797,,,True,False,False,False,
1,q13,Which ClamAV ALZ parser vulnerability can trigger memory corruption and denial of service through a crafted archive during scanning?,CVE-2026-20243,POISON-SM-q13,POISON-SM-q13,,1,,0.83715141,,False,True,True,True,
1,q14,Which Guardian language-system vulnerability passes the name parameter into an unsanitized SQL query in designer.php?,CVE-2026-34104,POISON-SM-q14,POISON-SM-q14,,1,,0.83655232,,False,True,True,True,
1,q15,Which Guardian language-system vulnerability passes an unauthenticated id parameter into PHP exec and allows arbitrary operating-system commands?,CVE-2026-34114,POISON-SM-q15,CVE-2026-34108,,,,,,False,False,False,False,
1,q16,"Which Kibana vulnerability allows a crafted Fleet policy input to make agent, server, and policy management functionality unavailable?",CVE-2026-56151,POISON-SM-q16,POISON-SM-q16,,1,,0.8159669,,False,True,True,True,
1,q17,Which Kibana vulnerability allows specially crafted input to inject or forge terminal-displayed log content?,CVE-2026-49091,POISON-SM-q17,POISON-SM-q17,,1,,0.8294435099999999,,False,True,True,True,
1,q18,Which AWS CLI vulnerability can expose credentials to other local users because certain commands create files with overly permissive permissions?,CVE-2026-13769,POISON-SM-q18,POISON-SM-q18,,1,,0.8231529,,False,True,True,True,
1,q19,Which ImageMagick MNG decoder vulnerability can disclose heap information because some pixel data is left unchanged?,CVE-2026-53467,POISON-SM-q19,POISON-SM-q19,,1,,0.90678412,,False,True,True,True,
1,q20,Which MPC-BE vulnerability causes denial of service through a NULL pointer dereference when processing a crafted MP4 file?,CVE-2026-36909,POISON-SM-q20,POISON-SM-q20,,1,,0.80818203,,False,True,True,True,
3,q01,Which vulnerability in the Oj Ruby JSON parser can disclose stack memory when object keys are unusually long?,CVE-2026-54500,POISON-SM-q01,POISON-SM-q01 | CVE-2026-54500 | CVE-2026-54902,2,1,0.72640342,0.80408514,0.07768171999999995,True,True,True,True,
3,q02,Which Oj JSON parsing vulnerability can corrupt heap memory when processing a JSON string larger than 2 GB?,CVE-2026-54903,POISON-SM-q02,CVE-2026-54903 | POISON-SM-q02 | CVE-2026-54896,1,2,0.7440343,0.7133085699999999,-0.030725730000000118,True,True,False,False,
3,q03,Which Telephony heap buffer overflow can cause memory corruption and local privilege escalation without user interaction?,CVE-2026-20462,POISON-SM-q03,POISON-SM-q03 | CVE-2026-20462 | CVE-2026-53329,2,1,0.7243419,0.74431366,0.019971760000000005,True,True,True,True,
3,q04,Which FV Flowplayer WordPress vulnerability allows stored cross-site scripting through the video_player shortcode align attribute?,CVE-2026-12135,POISON-SM-q04,POISON-SM-q04 | CVE-2026-12135 | CVE-2026-12923,2,1,0.8326382,0.9037162400000001,0.07107804000000006,True,True,True,True,
3,q05,"Which UltraVNC vulnerability uses a weak pseudo-random generator for authentication challenge bytes, making the challenge predictable?",CVE-2026-44040,POISON-SM-q05,POISON-SM-q05 | CVE-2026-44040 | CVE-2026-7830,2,1,0.78701496,0.8678405,0.08082553999999997,True,True,True,True,
3,q06,Which UltraVNC viewer vulnerability involves an integer overflow in the RFB failure-response reason length that leads to a heap buffer overflow?,CVE-2026-7838,POISON-SM-q06,POISON-SM-q06 | CVE-2026-7838 | CVE-2026-7831,2,1,0.81351107,0.86805776,0.05454669000000001,True,True,True,True,
3,q07,Which BookingPress Appointment Booking Pro vulnerability allows unauthenticated SQL injection through the store_service_date parameter?,CVE-2026-11823,POISON-SM-q07,POISON-SM-q07 | CVE-2026-11823 | CVE-2026-13454,2,1,0.77927417,0.86414185,0.08486768,True,True,True,True,
3,q08,Which Control-M Enterprise Manager vulnerability uses weak protection for stored account password hashes and can enable offline password recovery?,CVE-2026-10540,POISON-SM-q08,POISON-SM-q08 | CVE-2026-10540 | CVE-2026-53904,2,1,0.8403055,0.8623836,0.02207809999999999,True,True,True,True,
3,q09,Which Fastify middie vulnerability lets malformed percent-encoded request paths terminate the Node.js process when using the standalone engine?,CVE-2026-14181,POISON-SM-q09,CVE-2026-14181 | POISON-SM-q09 | CVE-2026-14198,1,2,0.84955195,0.78732795,-0.062223999999999946,True,True,False,False,
3,q10,Which FatFs vulnerability causes a divide-by-zero in exFAT synchronization when crafted metadata makes the FAT entry calculation zero?,CVE-2026-6683,POISON-SM-q10,POISON-SM-q10 | CVE-2026-6683 | CVE-2026-6687,2,1,0.7306399299999999,0.83788079,0.1072408600000001,True,True,True,True,
3,q11,Which Wikimedia Foundation OAuth vulnerability is a session fixation issue affecting MWOAuthServer?,CVE-2026-13707,POISON-SM-q11,POISON-SM-q11 | CVE-2026-13707 | CVE-2026-58029,2,1,0.8983553950000001,0.90997079,0.011615394999999973,True,True,True,True,
3,q12,Which Stormshield Network Security vulnerability allows a revoked client certificate to authenticate to the captive-admin portal?,CVE-2026-8480,POISON-SM-q12,CVE-2026-8480 | POISON-SM-q12 | CVE-2026-12579,1,2,0.91662797,0.8697258800000001,-0.046902089999999896,True,True,False,False,
3,q13,Which ClamAV ALZ parser vulnerability can trigger memory corruption and denial of service through a crafted archive during scanning?,CVE-2026-20243,POISON-SM-q13,POISON-SM-q13 | CVE-2026-20243 | CVE-2026-20215,2,1,0.81953192,0.83715141,0.01761949000000007,True,True,True,True,
3,q14,Which Guardian language-system vulnerability passes the name parameter into an unsanitized SQL query in designer.php?,CVE-2026-34104,POISON-SM-q14,POISON-SM-q14 | CVE-2026-34104 | CVE-2026-34096,2,1,0.7937776400000001,0.83655232,0.042774679999999954,True,True,True,True,
3,q15,Which Guardian language-system vulnerability passes an unauthenticated id parameter into PHP exec and allows arbitrary operating-system commands?,CVE-2026-34114,POISON-SM-q15,CVE-2026-34108 | CVE-2026-34110 | CVE-2026-34114,3,,0.7915638700000001,,,True,False,False,False,
3,q16,"Which Kibana vulnerability allows a crafted Fleet policy input to make agent, server, and policy management functionality unavailable?",CVE-2026-56151,POISON-SM-q16,POISON-SM-q16 | CVE-2026-56151 | POISON-SM-q17,2,1,0.70514682,0.8159669,0.1108200800000001,True,True,True,True,
3,q17,Which Kibana vulnerability allows specially crafted input to inject or forge terminal-displayed log content?,CVE-2026-49091,POISON-SM-q17,POISON-SM-q17 | CVE-2026-49091 | POISON-SM-q16,2,1,0.81178284,0.8294435099999999,0.017660669999999934,True,True,True,True,
3,q18,Which AWS CLI vulnerability can expose credentials to other local users because certain commands create files with overly permissive permissions?,CVE-2026-13769,POISON-SM-q18,POISON-SM-q18 | CVE-2026-13769 | CVE-2026-34115,2,1,0.76636937,0.8231529,0.056783529999999915,True,True,True,True,
3,q19,Which ImageMagick MNG decoder vulnerability can disclose heap information because some pixel data is left unchanged?,CVE-2026-53467,POISON-SM-q19,POISON-SM-q19 | CVE-2026-53467 | CVE-2026-55577,2,1,0.82078028,0.90678412,0.08600383999999994,True,True,True,True,
3,q20,Which MPC-BE vulnerability causes denial of service through a NULL pointer dereference when processing a crafted MP4 file?,CVE-2026-36909,POISON-SM-q20,POISON-SM-q20 | CVE-2026-36909 | CVE-2026-53338,2,1,0.7323382,0.80818203,0.07584382999999995,True,True,True,True,
5,q01,Which vulnerability in the Oj Ruby JSON parser can disclose stack memory when object keys are unusually long?,CVE-2026-54500,POISON-SM-q01,POISON-SM-q01 | CVE-2026-54500 | CVE-2026-54902 | POISON-SM-q02 | CVE-2026-54896,2,1,0.72640342,0.80408514,0.07768171999999995,True,True,True,True,
5,q02,Which Oj JSON parsing vulnerability can corrupt heap memory when processing a JSON string larger than 2 GB?,CVE-2026-54903,POISON-SM-q02,CVE-2026-54903 | POISON-SM-q02 | CVE-2026-54896 | CVE-2026-54900 | POISON-SM-q01,1,2,0.7440343,0.7133085699999999,-0.030725730000000118,True,True,False,False,
5,q03,Which Telephony heap buffer overflow can cause memory corruption and local privilege escalation without user interaction?,CVE-2026-20462,POISON-SM-q03,POISON-SM-q03 | CVE-2026-20462 | CVE-2026-53329 | CVE-2026-20458 | CVE-2026-53338,2,1,0.7243419,0.74431366,0.019971760000000005,True,True,True,True,
5,q04,Which FV Flowplayer WordPress vulnerability allows stored cross-site scripting through the video_player shortcode align attribute?,CVE-2026-12135,POISON-SM-q04,POISON-SM-q04 | CVE-2026-12135 | CVE-2026-12923 | CVE-2026-57722 | CVE-2026-57737,2,1,0.8326382,0.9037162400000001,0.07107804000000006,True,True,True,True,
5,q05,"Which UltraVNC vulnerability uses a weak pseudo-random generator for authentication challenge bytes, making the challenge predictable?",CVE-2026-44040,POISON-SM-q05,POISON-SM-q05 | CVE-2026-44040 | CVE-2026-7830 | POISON-SM-q06 | CVE-2026-44042,2,1,0.78701496,0.8678405,0.08082553999999997,True,True,True,True,
5,q06,Which UltraVNC viewer vulnerability involves an integer overflow in the RFB failure-response reason length that leads to a heap buffer overflow?,CVE-2026-7838,POISON-SM-q06,POISON-SM-q06 | CVE-2026-7838 | CVE-2026-7831 | CVE-2026-44041 | CVE-2026-7828,2,1,0.81351107,0.86805776,0.05454669000000001,True,True,True,True,
5,q07,Which BookingPress Appointment Booking Pro vulnerability allows unauthenticated SQL injection through the store_service_date parameter?,CVE-2026-11823,POISON-SM-q07,POISON-SM-q07 | CVE-2026-11823 | CVE-2026-13454 | CVE-2026-12113 | POISON-SM-q14,2,1,0.77927417,0.86414185,0.08486768,True,True,True,True,
5,q08,Which Control-M Enterprise Manager vulnerability uses weak protection for stored account password hashes and can enable offline password recovery?,CVE-2026-10540,POISON-SM-q08,POISON-SM-q08 | CVE-2026-10540 | CVE-2026-53904 | CVE-2026-53908 | CVE-2026-11387,2,1,0.8403055,0.8623836,0.02207809999999999,True,True,True,True,
5,q09,Which Fastify middie vulnerability lets malformed percent-encoded request paths terminate the Node.js process when using the standalone engine?,CVE-2026-14181,POISON-SM-q09,CVE-2026-14181 | POISON-SM-q09 | CVE-2026-14198 | CVE-2026-58451 | CVE-2026-13733,1,2,0.84955195,0.78732795,-0.062223999999999946,True,True,False,False,
5,q10,Which FatFs vulnerability causes a divide-by-zero in exFAT synchronization when crafted metadata makes the FAT entry calculation zero?,CVE-2026-6683,POISON-SM-q10,POISON-SM-q10 | CVE-2026-6683 | CVE-2026-6687 | CVE-2026-6682 | CVE-2026-6688,2,1,0.7306399299999999,0.83788079,0.1072408600000001,True,True,True,True,
5,q11,Which Wikimedia Foundation OAuth vulnerability is a session fixation issue affecting MWOAuthServer?,CVE-2026-13707,POISON-SM-q11,POISON-SM-q11 | CVE-2026-13707 | CVE-2026-58029 | CVE-2026-58024 | CVE-2026-58028,2,1,0.8983553950000001,0.90997079,0.011615394999999973,True,True,True,True,
5,q12,Which Stormshield Network Security vulnerability allows a revoked client certificate to authenticate to the captive-admin portal?,CVE-2026-8480,POISON-SM-q12,CVE-2026-8480 | POISON-SM-q12 | CVE-2026-12579 | CVE-2026-27409 | POISON-SM-q11,1,2,0.91662797,0.8697258800000001,-0.046902089999999896,True,True,False,False,
5,q13,Which ClamAV ALZ parser vulnerability can trigger memory corruption and denial of service through a crafted archive during scanning?,CVE-2026-20243,POISON-SM-q13,POISON-SM-q13 | CVE-2026-20243 | CVE-2026-20215 | CVE-2026-20213 | CVE-2026-20214,2,1,0.81953192,0.83715141,0.01761949000000007,True,True,True,True,
5,q14,Which Guardian language-system vulnerability passes the name parameter into an unsanitized SQL query in designer.php?,CVE-2026-34104,POISON-SM-q14,POISON-SM-q14 | CVE-2026-34104 | CVE-2026-34096 | CVE-2026-34105 | CVE-2026-34102,2,1,0.7937776400000001,0.83655232,0.042774679999999954,True,True,True,True,
5,q15,Which Guardian language-system vulnerability passes an unauthenticated id parameter into PHP exec and allows arbitrary operating-system commands?,CVE-2026-34114,POISON-SM-q15,CVE-2026-34108 | CVE-2026-34110 | CVE-2026-34114 | CVE-2026-34107 | CVE-2026-34116,3,,0.7915638700000001,,,True,False,False,False,
5,q16,"Which Kibana vulnerability allows a crafted Fleet policy input to make agent, server, and policy management functionality unavailable?",CVE-2026-56151,POISON-SM-q16,POISON-SM-q16 | CVE-2026-56151 | POISON-SM-q17 | CVE-2026-56152 | CVE-2026-49087,2,1,0.70514682,0.8159669,0.1108200800000001,True,True,True,True,
5,q17,Which Kibana vulnerability allows specially crafted input to inject or forge terminal-displayed log content?,CVE-2026-49091,POISON-SM-q17,POISON-SM-q17 | CVE-2026-49091 | POISON-SM-q16 | CVE-2026-49088 | CVE-2026-56151,2,1,0.81178284,0.8294435099999999,0.017660669999999934,True,True,True,True,
5,q18,Which AWS CLI vulnerability can expose credentials to other local users because certain commands create files with overly permissive permissions?,CVE-2026-13769,POISON-SM-q18,POISON-SM-q18 | CVE-2026-13769 | CVE-2026-34115 | CVE-2026-23537 | CVE-2026-57692,2,1,0.76636937,0.8231529,0.056783529999999915,True,True,True,True,
5,q19,Which ImageMagick MNG decoder vulnerability can disclose heap information because some pixel data is left unchanged?,CVE-2026-53467,POISON-SM-q19,POISON-SM-q19 | CVE-2026-53467 | CVE-2026-55577 | CVE-2026-55597 | CVE-2026-55594,2,1,0.82078028,0.90678412,0.08600383999999994,True,True,True,True,
5,q20,Which MPC-BE vulnerability causes denial of service through a NULL pointer dereference when processing a crafted MP4 file?,CVE-2026-36909,POISON-SM-q20,POISON-SM-q20 | CVE-2026-36909 | CVE-2026-53338 | CVE-2026-20214 | CVE-2026-53337,2,1,0.7323382,0.80818203,0.07584382999999995,True,True,True,True,
10,q01,Which vulnerability in the Oj Ruby JSON parser can disclose stack memory when object keys are unusually long?,CVE-2026-54500,POISON-SM-q01,POISON-SM-q01 | CVE-2026-54500 | CVE-2026-54902 | POISON-SM-q02 | CVE-2026-54896 | CVE-2026-54898 | CVE-2026-54900 | CVE-2026-54897 | CVE-2026-54899 | CVE-2026-54903,2,1,0.72640342,0.80408514,0.07768171999999995,True,True,True,True,
10,q02,Which Oj JSON parsing vulnerability can corrupt heap memory when processing a JSON string larger than 2 GB?,CVE-2026-54903,POISON-SM-q02,CVE-2026-54903 | POISON-SM-q02 | CVE-2026-54896 | CVE-2026-54900 | POISON-SM-q01 | CVE-2026-54902 | CVE-2026-54897 | CVE-2026-54901 | CVE-2026-54898 | CVE-2026-54502,1,2,0.7440343,0.7133085699999999,-0.030725730000000118,True,True,False,False,
10,q03,Which Telephony heap buffer overflow can cause memory corruption and local privilege escalation without user interaction?,CVE-2026-20462,POISON-SM-q03,POISON-SM-q03 | CVE-2026-20462 | CVE-2026-53329 | CVE-2026-20458 | CVE-2026-53338 | CVE-2026-53334 | POISON-SM-q20 | CVE-2026-55577 | CVE-2026-56150 | CVE-2026-54903,2,1,0.7243419,0.74431366,0.019971760000000005,True,True,True,True,
10,q04,Which FV Flowplayer WordPress vulnerability allows stored cross-site scripting through the video_player shortcode align attribute?,CVE-2026-12135,POISON-SM-q04,POISON-SM-q04 | CVE-2026-12135 | CVE-2026-12923 | CVE-2026-57722 | CVE-2026-57737 | CVE-2026-13733 | CVE-2026-13246 | CVE-2026-12754 | CVE-2026-34098 | CVE-2026-2387,2,1,0.8326382,0.9037162400000001,0.07107804000000006,True,True,True,True,
10,q05,"Which UltraVNC vulnerability uses a weak pseudo-random generator for authentication challenge bytes, making the challenge predictable?",CVE-2026-44040,POISON-SM-q05,POISON-SM-q05 | CVE-2026-44040 | CVE-2026-7830 | POISON-SM-q06 | CVE-2026-44042 | CVE-2026-7831 | CVE-2026-7840 | CVE-2026-7829 | CVE-2026-7838 | CVE-2026-7828,2,1,0.78701496,0.8678405,0.08082553999999997,True,True,True,True,
10,q06,Which UltraVNC viewer vulnerability involves an integer overflow in the RFB failure-response reason length that leads to a heap buffer overflow?,CVE-2026-7838,POISON-SM-q06,POISON-SM-q06 | CVE-2026-7838 | CVE-2026-7831 | CVE-2026-44041 | CVE-2026-7828 | CVE-2026-44042 | CVE-2026-7840 | POISON-SM-q05 | CVE-2026-44040 | CVE-2026-7829,2,1,0.81351107,0.86805776,0.05454669000000001,True,True,True,True,
10,q07,Which BookingPress Appointment Booking Pro vulnerability allows unauthenticated SQL injection through the store_service_date parameter?,CVE-2026-11823,POISON-SM-q07,POISON-SM-q07 | CVE-2026-11823 | CVE-2026-13454 | CVE-2026-12113 | POISON-SM-q14 | CVE-2026-13228 | CVE-2026-11887 | CVE-2026-57517 | CVE-2026-51946 | CVE-2026-27409,2,1,0.77927417,0.86414185,0.08486768,True,True,True,True,
10,q08,Which Control-M Enterprise Manager vulnerability uses weak protection for stored account password hashes and can enable offline password recovery?,CVE-2026-10540,POISON-SM-q08,POISON-SM-q08 | CVE-2026-10540 | CVE-2026-53904 | CVE-2026-53908 | CVE-2026-11387 | CVE-2026-10539 | CVE-2026-53905 | CVE-2026-12579 | CVE-2026-5051 | CVE-2026-10538,2,1,0.8403055,0.8623836,0.02207809999999999,True,True,True,True,
10,q09,Which Fastify middie vulnerability lets malformed percent-encoded request paths terminate the Node.js process when using the standalone engine?,CVE-2026-14181,POISON-SM-q09,CVE-2026-14181 | POISON-SM-q09 | CVE-2026-14198 | CVE-2026-58451 | CVE-2026-13733 | CVE-2026-12923 | CVE-2026-54399 | CVE-2026-23537 | CVE-2026-6070 | CVE-2026-38142,1,2,0.84955195,0.78732795,-0.062223999999999946,True,True,False,False,
10,q10,Which FatFs vulnerability causes a divide-by-zero in exFAT synchronization when crafted metadata makes the FAT entry calculation zero?,CVE-2026-6683,POISON-SM-q10,POISON-SM-q10 | CVE-2026-6683 | CVE-2026-6687 | CVE-2026-6682 | CVE-2026-6688 | CVE-2026-6686 | CVE-2026-6684 | CVE-2026-12480 | CVE-2026-54786 | CVE-2026-53906,2,1,0.7306399299999999,0.83788079,0.1072408600000001,True,True,True,True,
10,q11,Which Wikimedia Foundation OAuth vulnerability is a session fixation issue affecting MWOAuthServer?,CVE-2026-13707,POISON-SM-q11,POISON-SM-q11 | CVE-2026-13707 | CVE-2026-58029 | CVE-2026-58024 | CVE-2026-58028 | CVE-2026-58518 | CVE-2026-58036 | CVE-2026-58517 | CVE-2026-58025 | CVE-2026-58033,2,1,0.8983553950000001,0.90997079,0.011615394999999973,True,True,True,True,
10,q12,Which Stormshield Network Security vulnerability allows a revoked client certificate to authenticate to the captive-admin portal?,CVE-2026-8480,POISON-SM-q12,CVE-2026-8480 | POISON-SM-q12 | CVE-2026-12579 | CVE-2026-27409 | POISON-SM-q11 | CVE-2026-12374 | CVE-2026-53905 | CVE-2026-53904 | CVE-2026-57721 | CVE-2026-11883,1,2,0.91662797,0.8697258800000001,-0.046902089999999896,True,True,False,False,
10,q13,Which ClamAV ALZ parser vulnerability can trigger memory corruption and denial of service through a crafted archive during scanning?,CVE-2026-20243,POISON-SM-q13,POISON-SM-q13 | CVE-2026-20243 | CVE-2026-20215 | CVE-2026-20213 | CVE-2026-20214 | CVE-2026-20244 | CVE-2026-20217 | CVE-2026-20216 | CVE-2026-53343 | POISON-SM-q03,2,1,0.81953192,0.83715141,0.01761949000000007,True,True,True,True,
10,q14,Which Guardian language-system vulnerability passes the name parameter into an unsanitized SQL query in designer.php?,CVE-2026-34104,POISON-SM-q14,POISON-SM-q14 | CVE-2026-34104 | CVE-2026-34096 | CVE-2026-34105 | CVE-2026-34102 | POISON-SM-q15 | CVE-2026-34099 | CVE-2026-34103 | CVE-2026-34101 | CVE-2026-34100,2,1,0.7937776400000001,0.83655232,0.042774679999999954,True,True,True,True,
10,q15,Which Guardian language-system vulnerability passes an unauthenticated id parameter into PHP exec and allows arbitrary operating-system commands?,CVE-2026-34114,POISON-SM-q15,CVE-2026-34108 | CVE-2026-34110 | CVE-2026-34114 | CVE-2026-34107 | CVE-2026-34116 | CVE-2026-34113 | CVE-2026-34109 | CVE-2026-34117 | CVE-2026-34106 | POISON-SM-q15,3,10,0.7915638700000001,0.7351209000000001,-0.05644296999999998,True,True,False,False,
10,q16,"Which Kibana vulnerability allows a crafted Fleet policy input to make agent, server, and policy management functionality unavailable?",CVE-2026-56151,POISON-SM-q16,POISON-SM-q16 | CVE-2026-56151 | POISON-SM-q17 | CVE-2026-56152 | CVE-2026-49087 | CVE-2026-49091 | CVE-2026-49088 | CVE-2026-56148 | CVE-2026-49090 | CVE-2026-56149,2,1,0.70514682,0.8159669,0.1108200800000001,True,True,True,True,
10,q17,Which Kibana vulnerability allows specially crafted input to inject or forge terminal-displayed log content?,CVE-2026-49091,POISON-SM-q17,POISON-SM-q17 | CVE-2026-49091 | POISON-SM-q16 | CVE-2026-49088 | CVE-2026-56151 | CVE-2026-56152 | CVE-2026-49087 | CVE-2026-55660 | CVE-2026-54074 | CVE-2026-13733,2,1,0.81178284,0.8294435099999999,0.017660669999999934,True,True,True,True,
10,q18,Which AWS CLI vulnerability can expose credentials to other local users because certain commands create files with overly permissive permissions?,CVE-2026-13769,POISON-SM-q18,POISON-SM-q18 | CVE-2026-13769 | CVE-2026-34115 | CVE-2026-23537 | CVE-2026-57692 | CVE-2026-53905 | CVE-2026-12408 | CVE-2026-10750 | CVE-2026-14340 | CVE-2026-20216,2,1,0.76636937,0.8231529,0.056783529999999915,True,True,True,True,
10,q19,Which ImageMagick MNG decoder vulnerability can disclose heap information because some pixel data is left unchanged?,CVE-2026-53467,POISON-SM-q19,POISON-SM-q19 | CVE-2026-53467 | CVE-2026-55577 | CVE-2026-55597 | CVE-2026-55594 | CVE-2026-53466 | CVE-2026-55510 | CVE-2026-14191 | CVE-2026-53338 | CVE-2025-15646,2,1,0.82078028,0.90678412,0.08600383999999994,True,True,True,True,
10,q20,Which MPC-BE vulnerability causes denial of service through a NULL pointer dereference when processing a crafted MP4 file?,CVE-2026-36909,POISON-SM-q20,POISON-SM-q20 | CVE-2026-36909 | CVE-2026-53338 | CVE-2026-20214 | CVE-2026-53337 | CVE-2026-53348 | CVE-2026-53339 | CVE-2026-20213 | CVE-2026-53350 | CVE-2026-41579,2,1,0.7323382,0.80818203,0.07584382999999995,True,True,True,True,
